1535	1000	0	25	68	6	0,07	15	7	24	5	18	88	68	16
1400	836	39	35	80	6	0,07	15	6	20	3	21	101	75	18	
1300	769	30	41	82	6	0,06	15	6	18	3	22	106	81	19	
1200	714	26	47	83	6	0,06	14	5	17	3	23	109	88	19	
1100	666	24	53	83	5	0,06	13	5	15	2	23	111	96	20	
1000	620	22	60	82	5	0,05	12	4	14	2	24	113	105	20	
900	577	21	68	81	4	0,04	11	4	12	2	24	115	117	20	
800	537	20	78	79	4	0,04	10	3	11	1	24	116	131	20	
700	498	19	91	78	3	0,03	9	3	9	1	24	117	150	21	
600	461	19	107	76	3	0,02	7	2	8	1	25	118	175	21	
500	425	18	130	74	2	0,01	6	2	7	1	25	119	210	21	
400	389	18	163	73	2	0,01	5	2	5	1	25	119	263	21	
300	354	18	219	72	2	0,01	4	1	4	0	25	120	350	21	
240	333	18	274	70	1	0,01	3	1	3	0	25	120	437	21	
