2025	1000	104	0	52	18	28	98	10	0,08	24	8	28	5	22
2000	972	106	43	53	19	29	101	10	0,08	24	8	28	4	22
1900	893	114	35	55	20	35	108	10	0,08	24	8	25	3	24
1800	833	118	27	58	21	40	111	9	0,08	23	7	24	3	25
1700	784	122	23	62	21	44	113	9	0,07	22	7	22	2	25
1600	740	125	21	66	22	49	114	9	0,07	21	6	20	2	26
1500	700	127	19	70	22	53	114	8	0,07	20	6	19	2	27
1400	662	129	18	75	22	59	113	8	0,07	19	5	18	2	27
1300	627	131	17	81	23	65	113	7	0,06	18	5	16	1	27
1200	594	133	16	88	23	71	112	7	0,06	17	4	15	1	28
1100	561	134	16	96	23	79	110	6	0,06	15	4	14	1	28
1000	530	135	15	105	23	88	109	6	0,05	14	4	12	1	28
900	500	136	15	116	23	98	107	5	0,04	13	3	11	1	28
800	471	137	15	131	23	111	105	5	0,03	11	3	10	1	28
700	442	137	14	150	23	128	104	4	0,01	10	3	9	1	29
600	414	138	14	175	23	150	102	4	0,01	9	2	7	0	29
500	386	138	14	210	23	181	100	3	0,01	7	2	6	0	29
400	359	138	14	263	23	228	98	2	0,01	6	1	5	0	29
307	333	138	14	342	23	298	95	2	0,01	4	1	3	0	29
